sujeto_pasivo,fecha,duracion_minutos,lugar,materia,asistentes,representado
"Pugh Olavarría, Kenneth",2018-07-04,30,OFICINA SENADO,Modificaciones a la Ley de Pesca,"Manriquez, Pablo; leiva, edita; espinoza, marta; rojas, guigo; Martínez, José",fedepes biobio
"Villadangos Wenger, María Angélica",2018-07-03,30,Oficina Senador Congreso Valparaíso,Presenta un Proyecto de Prevención para la Mujer y Equidad de Género de la Comunidad en General.,"CHAVEZ, MAURICIO",MAURICIO CHAVEZ
"Latorre Riveros, Juan Ignacio",2018-07-03,60,senado Valparaíso,"Se presentó la solicitud de aprobar el proyecto de reconocimiento del pueblo tribal afrodescendiente, fueron recibidos por el asesor legislativo Leonardo Rissetti","Llerena Rodriguez, Marco; Salgado, Marta",ONG
"Durana Semir, Jose Miguel",2018-06-30,90,Lastarria N°1569,"Presentación de la corporación, generar proyectos y armar mesas público privadas.","Pizarro Bossay, Pablo; Castillo, Bernardo; Matte, Cecilia; Quelopana, Marjorie; Vargas, Luis; Rivera, Oscar; Flores, Ego; Godoy, Anibal; Maturana, Mario; Berrios, Carlo; Berrios, Carlos; Herrera, Carolina; Riquelme, Marco; Salva, Franklin; Varas, Mario","Junta de Adelanto de Arica y Parinacota Social, Cultural y Patrimonial"
"Elizalde Soto, Alvaro",2018-06-29,30,Oficina Parlamentaria 2 sur 889 1-A,"Reunión con Directiva de Asociación de Funcionarios de la Salud Municipalizada para conocer las irregualridades con el Municipio de Talca por despidos por licencias médicas, y adulteración de licencias médicas.","Vasquez, Fernando; San Martín, Laura",Asociación de Funcionarios Salud Municipalizada
"Durana Semir, Jose Miguel",2018-06-29,15,Lastarria N°1569,Proyecto agrícola Pampa Concordia,"Mamani, Miguel Ángel; castro mamani, jose moises; Ayca Huarachi, yesica Carina; Ayca Zambrana, Miguel Angel; Valdera Medina, Carlos",
"Castro Prieto, Juan Enrique",2018-06-29,60,Sede Asociación Agrícola Central,INQUIETUDES SOBRE REFORMA AL CÓDIGO DE AGUA,"Herrera Paredes, Juan Pablo; Medina, Carlos Fernando ; Almarza Pizarro, Georgia Karina; Castro Romero, Jorge Ismael; Bravo Ureta, Andrés",Asociación gremial Agricola Central
"Huenchumilla Jaramillo, Francisco",2018-06-29,30,Temuco - Aldunate 920 2do. piso oficina 3,"Informan sobre proyecto de ley para consumo de Canavis, su uso medicinal y que actualmente se encuentra en la Comisión del Salud del Senado","Jaramillo, marianela; Pincheira Inostroza, Elvira",Fundación Mama cultiva Araucania
"Huenchumilla Jaramillo, Francisco",2018-06-29,30,Temuco - Aldunate 920 2do. piso oficina 3,Aporte y sugerencias en políticas de la niñez y sobre la aprobación de proyecto de ley de presupuesto para organizaciones colaboradoras del SENAME,"Sepúlveda, cristian",Comunidad Organizaciones Solidarias
"Pizarro Soto, Jorge",2018-06-28,30,MORANDE 441. EX CONGRESO,Se hace presente los problemas que se generan con la incorporación de articulo nuevo a Boletín 9656-15,"Bagnara Vivanco, Manuel Fernando","Asociación de armadores de transporte marítimo, fluvial, lacustre y turístico sur austral, asociación gremial?"
"Pizarro Soto, Jorge",2018-06-28,30,MORANDE 441. EX CONGRESO,Se hace presente el impacto de impuestos verdes de la reforma tributaria en la agroindustria,"Schlesinger, Denise; González Galdames, Guillermo; Descourvières G., Carlos; Fernández Alemany, Andrés; Mira V., Juan Manuel; Dorfman, Natalio; Alt Hayal, Marcela",ASOCIACION DE EMPRESAS DE ALIMENTOS DE CHILE A G
"Pizarro Soto, Jorge",2018-06-28,30,MORANDE 441. EX CONGRESO,"HACEN PRESENTE LA NECESIDAD DE SOLICITAR INDICACIÓN LEGAL AL PROYECTO DE LEY QUE MODERNIZA LA LEGISLACIÓN BANCARIA BOLETÍN 11269-05.
AL RESPECTO SE LES ACONSEJA REUNIRSE CON TODOS LOS CENADORES INVOLUCRADOS EN LA COMISIÓN","Gaete Gajardo, Nataly Andrea; Figueroa, Alex",Cooperativa de Ahorro y Credito El Detallista Limitada
"Insulza Salinas, Jose Miguel",2018-06-27,30,of.santiago Senado,presentación de proyecto y pedir de patrocinio,"Olmos Cabezas, Claudio Omar",Claudio Olmos Cabezas
"Insulza Salinas, Jose Miguel",2018-06-27,30,of.santiago Senado,PRESENTACION PROYECTO MUJER Y EQUIDAD DE GENERO COMUNIDAD GENERAL,"CHAVEZ, MAURICIO",MAURICIO CHAVEZ
"Prohens Espinosa, Rafael",2018-06-27,60,O´Higgins 61,Informar avances del Proyecto Minero Norte Abierto,"Muñoz, Carlos; Mackinnon, Ian; Saavedra, Cristian",Extracción de otros Minerales Metálicos
"Elizalde Soto, Alvaro",2018-06-26,30,oficina parlamentaria 2 sur 889 1-A,"Reunión con Centro General de Padres y apoderados y la Asociación de amigos y Defensores de Escuelas Las Concentradas,  para solicitar gestión y apoyo para la reconstrucción.","Nuñez, Gladys; Romero, Isabel; Contreras, René",Asociación
"García Huidobro Sanfuentes, Alejandro",2018-06-26,60,Rancagua oficina regional Hno Claudio 512,Comodato de terreno Sauzal,"Acevedo, Cristian",GRUPO AVANZADA AMBIENTAL
"Elizalde Soto, Alvaro",2018-06-26,60,5 oriente con 2y 3 sur,Reunión con Ex presos Políticos de Talca para solicitar que se revise un proyecto aprobado por unanimidad  en el Core sobre un Sitio de Memoria en la región del Maule que está siendo visto en la Contraloria  General de la República.,"Soto Gutierrrez, Carlos; Rodriguez, Juan carlos; Rodriguez, Lidia; Jaque, Luis",Ex Presos Politicos de Talca
"Elizalde Soto, Alvaro",2018-06-26,60,oficina parlamentaria 2 sur 889 1-A,Reunión para analizar Proyecto de Ley del Servicio de Evaluación Ambiental.,"Falcón, Mauricio",Asociación Nacional de Funcionarios del Servicio de Evaluación Ambiental
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación de Cooperativa Cerradade Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30, Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,"Presentación Cooperativa Cerrada de Vivienda Construyamos Juntos
Saludos de cortesía","YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Guillier Álvarez, Alejandro",2018-06-26,30,Antofagasta,Presentación de cooperativa de vivienda,"YALTA VALLEJOS, MIGUEL; GENERAL JARA, PABLO; TRANGULAO PORMA, JOSE; ROJAS ESPEJO, MARISOL",COOPERATIVA CERRADA DE VIVIENDA CONSTRUYAMOS JUNTOS LIMITADA
"Elizalde Soto, Alvaro",2018-06-26,60,Oficina en Curicó,"Presentación de directiva, temas generales de Asociación de Funcionarios Municipales de Curicó","Peñaloza, María; Gonzalez, Eugenio",Asociación de Funcionarios Municipales de Curicó (AFUM)
"Guillier Álvarez, Alejandro",2018-06-26,45,Av. Grecia s/n Antofagasta,"Presentación protocolar
Proyecciones del Puerto","Arteaga, Enrique; martinez, Sofia",Enrique Arteaga Correa
"Guillier Álvarez, Alejandro",2018-06-26,45,Av. Grecia s/n Antofagasta,"Presentación protocolar
Proyecciones del puerto","Arteaga, Enrique; martinez, Sofia",Enrique Arteaga Correa
"Elizalde Soto, Alvaro",2018-06-25,60,Oficina Parlamentaria de Talca 2 sur 889,Ley de cultivo seguro y modificación en el código sanitario de la Ley 20.000,"Valdés, Verónica; Corvalan, Alexis",Fundación Daya
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,"Presente y explica el proyecto Añihuerraqui, ubicado en Curarrehue. El Senador escucha la exposición. Les señala que es muy importante la opinión del Alcalde y de las comunidades de la comuna.","Concha Berthet, Matias",CPA SpA
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,"Expusieron sus comentarios frente a la Ley de Identidad de Género. Y mostraron el trabajo que hace su Fundación Renaciendo, con 75 familias de menores de edad en todo Chile.","BECKER MORALES, CLAUDIA; BECKER PRIETO, RAUL",
"Elizalde Soto, Alvaro",2018-06-25,60,oficina ex Congreso en Santiago,"Observaciones a las indicaciones del Proyecto de Ley que modifica la ley N° 20.423 del sistema Institucional para el Desarrollo del Turismo, boletín ( N°9.170-23).","Tapia Estrada, Maribel; Cárcamo Mancilla, Alejandra",Asociación Nacional de Funcionarios del Servicio Nacional de Turismo (ANFUS)
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,Manifiestan sus comentarios frente a la Ley de Matrimonio Igualitario; Ley de Identidad de Género y Ley de Adopciones.,"Jimenez, Rolando; Ríos Pacheco, Diego Antonio",ONG MOVILH
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,Plantean su parecer frente a la Ley Matrimonio Igualitario.,"Pi Arriagada, Juan Enrique ; Lizama Cisternas, Jimena Fernanda",Fundación Iguales
"Allamand Zavala, Andrés",2018-06-25,30,Ex Congreso Nacional of. Senador Allamand,proyecto de Ley,"Buchi, Marcos; Hernandez, Guillermo; Gil, Sebastián",Sociedad Anónima
"Allamand Zavala, Andrés",2018-06-25,30,Ex Congreso Nacional of. Senador Allamand,Escuchar el parecer de los solicitantes sobre el proyecto de Ley,"Dorfman, Natalio; Schlesinger, Denise; Salgado, Cristián; GONZALEZ, JOSE IGNACIO; Concha, Francisco",Claro Chile S.A.
"Huenchumilla Jaramillo, Francisco",2018-06-25,0,Congreso Nacional - Morande 441,"Plantea su opinión frente a la Ley de Identidad de Género y sus alcances, que ya lleva 05 años en le Congreso. Hace entrega de una encuesta 2016-2017 sobre personas Trans en el País.","Montecinos, Consuelo",Organizacion de interes público
"Allamand Zavala, Andrés",2018-06-25,30,Ex Congreso Nacional of. Senador Allamand,"Se presentan en la reunión Manuel Bagnara, Gerente General de Armasur y Jaime Jhonson Director Ejecutivo. 
El motivo de la reunión es para plantearle las inquietudes respecto del Proyecto de ley que modifica el DL Nº 3.059, de 1979, para autorizar el cabotaje de pasajeros a cruceros de bandera extranjeros.
Una de sus principales inquietudes es la apertura de navegación en los buques (cruceros) que trasladaran entre 12 a 400 pasajeros, ya que estos no pagarían impuestos. 
La falta de control en los buques que llegarían a Chile ya que con esta ley no estarán obligados a llegar a puerto, solo se considerara llegar a punto.
El senador les indica que manden un correo a la comisión de transporte con las inquietudes presentadas en la reunión.
Además, les señala que se contactara con el Senador Lagos Weber para que pueda recibirlos.","Bagnara Vivanco, Manuel Fernando","Asociación de armadores de transporte marítimo, fluvial, lacustre y turístico sur austral, asociación gremial?"
"Allamand Zavala, Andrés",2018-06-25,30,Ex Congreso Nacional of. Senador Allamand,"Claudio Olmos, expone y presenta a Ñamku un proyecto de seguridad comunal. Ñamku es una plataforma que da solución al problema de la delincuencia y percepción de seguridad.
1.- Plataforma aérea móvil segura, efectiva.
2.- Cámara de vigilancia aérea, capaz de ubicar, reconocer e identificar a personas y vehículos a una distancia superior a los cuatro (4) kms.
 3. Es basado en un trabajo en conjunto con vecinos, municipio y policías. 
El objetivo de este proyecto es devolver la confianza y seguridad a quienes viven y trabajan en las zonas de aplicación, incrementando la calidad de vida de las personas. 
El objetivo de la audiencia es que el Senador conozca la iniciativa, pueda participar y conceda, si lo estima adecuado, su patrocinio. 
El señor Olmos le comenta al Senador que este proyecto fue presentado al diputado Bellolio y cuenta con el patrocinio de él. El senador le señala que se contactará con Jaime Bellolio para conversar respecto al proyecto. 
El senador le recomienda que el proyecto se lo presente a los municipios, que contacte a los alcaldes y como consejo que hable directamente con el presidente de la Asociación de Municipales (AMUCH), Sr. Henry Campos, alcalde de la comuna de Talcahuano. En dicha reunión el senador le provee el teléfono del presidente de la AMUCH para que se comunique con él.","Olmos Cabezas, Claudio Omar",Claudio Olmos Cabezas
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,"Presentan el trabajo que realiza la Coordinadora y que tienen presencia en todo el territorio nacional. Nacieron el año 2013 y han participado en varios procesos de consultas indígenas. Ponen hincapié en la consulta en educación que empieza el 10 de julio de 2018. Dicha organización pretende visibilizar la problemática de los pueblos originarios en Chile, de sobremanera el caso de la mujer indígena.","RIQUELME, SUSANA MARIA; ALCAMAN NAHUELPI, XIMENA DEL CARMEN; Bustamante Coilla, Elizabeth; Rupayan Ponce, Jessica; Retamal Nahuelpan, Maria Cecilia; PICHICON CARIMAN, MANUEL",Coordinadora Nacional de Mujeres de Pueblos Originarios de Chile
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,"Por tema de agenda, se les solicito información vía correo electrónico.","Schlesinger, Denise; Salgado, Cristián; GONZALEZ, JOSE IGNACIO; Concha, Francisco; Dorfman, Natalio",CLARO CHILE S.A.
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,"Dan a conocer el trabajo de la Fundación en la IX Región. Hace 5 años partieron con 7 liceos y actualmente tienen 15. Son establecimientos educacionales y colegios particulares subvencionados. Trabajan con los docentes, los equipos directivos, estudiantes y sus familias. Quieren modificar las enseñanzas y el ambiente educacional con innovadoras prácticas pedagógicas, que los Directores sean lideres de su comunidad educativa.Además se plantearon sus comentarios al Consejo Evaluador del año 2021, que evaluará a la educación pública, porque la Ley no fija ningún criterio para integrarlo. Y ellos quieren una conformación plural.","Miquel Munizaga, Cristián Francisco; Arratia Martinez, Alejandra; Cisternas Pacheco, Nicole",FUNDACION EDUCACION 2020
"Aravena Acuña, Carmen Gloria",2018-06-25,30,Oficina Parlamentaria  Temuco,"Describir situacion compleja por el aumento de exportación de harina, lo que está complicando el mercado sureño. Consideran competencia desleal.","Avendaño Hoffmann, Pablo Andrés; Seco González, Samuel Antonio",Asociación de Industriales Molineros del Sur A.G.
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,"Con una visión de futuro en la IX Región, crean la Asociación de Cooperativas de La Araucanía ACC Chile. Que pretenden ser un puente comercial y de traspaso de conocimientos para el modelo de desarrollo, como instrumentos financieros nuevos, entre otras acciones.","Tokos Larrain, Pablo; TOLOZA REYES, DIX",Tokosova Hydrovalv SpA
"Huenchumilla Jaramillo, Francisco",2018-06-25,30,Congreso Nacional - Morande 441,"Este audiencia se recibió en el Congreso Santiago el día 25 de Junio 2018. Tema a tratar Ley de Cohecho, sobre todo que se hace necesario subir el piso de las penas. Como está la Ley los resultados serían los mismos con iguales pisos en las penas. Otro tema tratado el año 2016, entró al Senado la creación de la Comisión de Transparencia, Participación Ciudadana y Probidad. Donde se crea la Dirección de Ética, que son 3 personas ajenas al Congreso, vía Alta Dirección Pública, son elegidas previa aprobación por la Cámara de Diputados y el Senado. Actualmente está detenido dicho proyecto en la Comisión de Constitución, Legislación y Justicia.","Jaraquemada, María; Precht Rorris, Alberto; Del Favero, Octavio",Espacio Publico
